<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
USDCB,D,20230110,00:00,70.3002000
USDCB,D,20230111,00:00,69.6094000
USDCB,D,20230112,00:00,69.0202000
USDCB,D,20230113,00:00,67.7775000
USDCB,D,20230114,00:00,67.5744000
USDCB,D,20230117,00:00,68.2892000
USDCB,D,20230118,00:00,68.6644000
USDCB,D,20230119,00:00,68.8728000
USDCB,D,20230120,00:00,68.8467000
USDCB,D,20230121,00:00,68.6656000
USDCB,D,20230124,00:00,68.6288000
USDCB,D,20230125,00:00,68.7529000
USDCB,D,20230126,00:00,68.9573000
USDCB,D,20230127,00:00,69.1263000
USDCB,D,20230128,00:00,69.3372000
USDCB,D,20230131,00:00,69.5927000
USDCB,D,20230201,00:00,70.5174000
USDCB,D,20230202,00:00,70.1217000
USDCB,D,20230203,00:00,70.0414000
USDCB,D,20230204,00:00,70.3847000
USDCB,D,20230207,00:00,70.5991000
USDCB,D,20230208,00:00,70.8924000
USDCB,D,20230209,00:00,71.5763000
USDCB,D,20230210,00:00,72.8949000
USDCB,D,20230211,00:00,72.7923000
USDCB,D,20230214,00:00,73.6307000
USDCB,D,20230215,00:00,73.8645000
USDCB,D,20230216,00:00,74.2077000
USDCB,D,20230217,00:00,74.7638000
USDCB,D,20230218,00:00,74.7588000
USDCB,D,20230221,00:00,74.0432000
USDCB,D,20230222,00:00,74.8596000
USDCB,D,20230223,00:00,74.7087000
USDCB,D,20230228,00:00,75.4323000
USDCB,D,20230301,00:00,74.8932000
USDCB,D,20230302,00:00,75.2513000
USDCB,D,20230303,00:00,75.4729000
USDCB,D,20230304,00:00,75.4592000
USDCB,D,20230307,00:00,75.4728000
USDCB,D,20230308,00:00,75.4577000
USDCB,D,20230310,00:00,75.9028000
USDCB,D,20230311,00:00,75.9406000
USDCB,D,20230314,00:00,75.4609000
USDCB,D,20230315,00:00,75.1927000
USDCB,D,20230316,00:00,75.7457000
USDCB,D,20230317,00:00,76.4095000
USDCB,D,20230318,00:00,76.6044000
USDCB,D,20230321,00:00,77.2422000
USDCB,D,20230322,00:00,76.8373000
USDCB,D,20230323,00:00,76.9561000
USDCB,D,20230324,00:00,76.3072000
USDCB,D,20230325,00:00,76.4479000
USDCB,D,20230328,00:00,76.5662000
USDCB,D,20230329,00:00,76.5939000
USDCB,D,20230330,00:00,76.9781000
USDCB,D,20230331,00:00,77.0863000
USDCB,D,20230401,00:00,77.3233000
USDCB,D,20230404,00:00,77.9510000
USDCB,D,20230405,00:00,79.3563000
USDCB,D,20230406,00:00,79.4961000
USDCB,D,20230407,00:00,80.6713000
USDCB,D,20230408,00:00,82.3988000
USDCB,D,20230411,00:00,81.7441000
USDCB,D,20230412,00:00,82.1799000
USDCB,D,20230413,00:00,82.0934000
USDCB,D,20230414,00:00,81.6758000
USDCB,D,20230415,00:00,81.5045000
USDCB,D,20230418,00:00,81.6279000
USDCB,D,20230419,00:00,81.6028000
USDCB,D,20230420,00:00,81.6549000
USDCB,D,20230421,00:00,81.6188000
USDCB,D,20230422,00:00,81.4863000
USDCB,D,20230425,00:00,81.2745000
USDCB,D,20230426,00:00,81.5499000
USDCB,D,20230427,00:00,81.6274000
USDCB,D,20230428,00:00,81.5601000
USDCB,D,20230429,00:00,80.5093000
USDCB,D,20230503,00:00,79.9609000
USDCB,D,20230504,00:00,79.3071000
USDCB,D,20230505,00:00,78.6139000
USDCB,D,20230506,00:00,76.8207000
USDCB,D,20230511,00:00,76.6929000
USDCB,D,20230512,00:00,75.8846000
USDCB,D,20230513,00:00,77.2041000
USDCB,D,20230516,00:00,79.1004000
USDCB,D,20230517,00:00,79.9798000
USDCB,D,20230518,00:00,80.7642000
USDCB,D,20230519,00:00,80.0366000
USDCB,D,20230520,00:00,79.9093000
USDCB,D,20230523,00:00,79.9379000
USDCB,D,20230524,00:00,80.1665000
USDCB,D,20230525,00:00,79.9669000
USDCB,D,20230526,00:00,79.9841000
USDCB,D,20230527,00:00,79.9667000
USDCB,D,20230530,00:00,80.0555000
USDCB,D,20230531,00:00,80.6872000
USDCB,D,20230601,00:00,80.9942000
USDCB,D,20230602,00:00,80.9657000
USDCB,D,20230603,00:00,80.8756000
USDCB,D,20230606,00:00,81.3294000
USDCB,D,20230607,00:00,81.2502000
USDCB,D,20230608,00:00,81.4581000
USDCB,D,20230609,00:00,82.0930000
USDCB,D,20230610,00:00,82.6417000
USDCB,D,20230614,00:00,83.6405000
USDCB,D,20230615,00:00,84.3249000
USDCB,D,20230616,00:00,83.9611000
USDCB,D,20230617,00:00,83.6498000
USDCB,D,20230620,00:00,83.9866000
USDCB,D,20230621,00:00,84.2336000
USDCB,D,20230622,00:00,84.2467000
USDCB,D,20230623,00:00,83.6077000
USDCB,D,20230624,00:00,84.0793000
USDCB,D,20230627,00:00,84.6642000
USDCB,D,20230628,00:00,85.0504000
USDCB,D,20230629,00:00,85.6192000
USDCB,D,20230630,00:00,87.0341000
USDCB,D,20230701,00:00,88.3844000
USDCB,D,20230704,00:00,89.3255000
USDCB,D,20230705,00:00,89.5450000
USDCB,D,20230706,00:00,90.3380000
USDCB,D,20230707,00:00,92.5695000
USDCB,D,20230708,00:00,91.6879000
USDCB,D,20230711,00:00,91.4931000
USDCB,D,20230712,00:00,90.5045000
USDCB,D,20230713,00:00,90.6253000
